"baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","gene_status","gene_id"
58.0456761608147,1.12091305796855,0.382145848231755,2.9332074734167,0.00335479625890105,0.0190474185832655,"Up-Regulated","ENSMUSG00000000028"
941.336012575987,2.05672016155638,0.492148305553115,4.17906581887928,2.92708970364705e-05,0.000414260785023467,"Up-Regulated","ENSMUSG00000000088"
22.2813757769422,-1.73616642517189,0.438946638563418,-3.95530178988043,7.64380993853553e-05,0.000931149561592018,"Down-Regulated","ENSMUSG00000000126"
168.360820626515,1.22648853207401,0.437631690018539,2.80255877270235,0.00506989778595171,0.0258981284790136,"Up-Regulated","ENSMUSG00000000142"
268.269710556428,3.89179232922861,0.552285224370512,7.04670731262896,1.83201101238156e-12,5.99947333955751e-10,"Up-Regulated","ENSMUSG00000000154"
210.986762042133,1.56192772369451,0.44951392342344,3.47470376845966,0.000511417776070504,0.00449391681435846,"Up-Regulated","ENSMUSG00000000159"
1882.97767080187,1.17150621384527,0.372550839801202,3.14455394724221,0.00166340239029792,0.0111985175616129,"Up-Regulated","ENSMUSG00000000171"
214.698873604854,-1.79344790103973,0.588268131709331,-3.04869124191464,0.00229840570250157,0.0142287946788612,"Down-Regulated","ENSMUSG00000000216"
655.879300359888,-1.11795329477755,0.391303793695624,-2.85699579914412,0.00427671498269945,0.0229360505982458,"Down-Regulated","ENSMUSG00000000276"
4257.69506219207,4.07040241825277,0.636286905070576,6.3971180073261,1.58336958539016e-10,1.19006365488329e-08,"Up-Regulated","ENSMUSG00000000308"
407.510058349928,1.03886772420224,0.409883862799189,2.53454165554989,0.0112594539440334,0.0465376736293299,"Up-Regulated","ENSMUSG00000000384"
688.119554539645,2.93585324969928,0.541746664215262,5.41923641366941,5.98541251422676e-08,1.86838995882607e-06,"Up-Regulated","ENSMUSG00000000385"
23.5020402903699,1.68526838291788,0.500177475427185,3.36934081543466,0.000753481992337133,0.00606980316719866,"Up-Regulated","ENSMUSG00000000386"
801.012700777436,1.15553875948843,0.356302134903682,3.24314295731292,0.00118218878011878,0.00861762188445339,"Up-Regulated","ENSMUSG00000000399"
220.963428388199,2.76448259786235,0.813853549863032,3.39678139676064,0.000681834126713798,0.00561642554628475,"Up-Regulated","ENSMUSG00000000409"
1173.14500184254,4.01471812609042,0.597607457848741,6.71798531521434,1.84254256317462e-11,2.43560103716618e-09,"Up-Regulated","ENSMUSG00000000544"
2429.06533191903,1.17441276295776,0.358293121834183,3.2777987948685,0.00104619939777757,0.00782148975170941,"Up-Regulated","ENSMUSG00000000563"
98.3431035814914,1.75678170878452,0.638093351439,2.75317350482136,0.00590206075822825,0.0289640591821388,"Up-Regulated","ENSMUSG00000000567"
365.524874099322,2.54843578845864,0.550747748910605,4.62722869680269,3.70591218620876e-06,6.98887190975278e-05,"Up-Regulated","ENSMUSG00000000805"
331.462204932789,1.1795518709851,0.351837413545132,3.35254815313663,0.000800713112745884,0.00636281444665794,"Up-Regulated","ENSMUSG00000000876"
44.7140162796128,1.72389447930533,0.523443202800679,3.29337446752894,0.000989925351881091,0.00750282176674374,"Up-Regulated","ENSMUSG00000000934"
156.519812751136,1.7156075715779,0.445774660105094,3.84859823834186,0.000118795656014513,0.00135943321660953,"Up-Regulated","ENSMUSG00000000957"
503.250798199868,3.58246688477749,0.585648350252574,6.11709549464703,9.52962654384876e-10,4.8823213326425e-08,"Up-Regulated","ENSMUSG00000000958"
10.5136125189836,-1.85763668177545,0.721462183468664,-2.57482197174113,0.01002916933993,0.0427941531667579,"Down-Regulated","ENSMUSG00000000982"
17.1478733225256,2.78595365360084,0.813891668146807,3.42300303914442,0.000619333848665515,0.00522000325470232,"Up-Regulated","ENSMUSG00000000983"
55.8046936812883,3.92395484287897,0.738027805090417,5.31681166456627,1.05601270492651e-07,3.03907894244928e-06,"Up-Regulated","ENSMUSG00000001095"
2552.41933848759,4.2966904936417,0.660851456312003,6.50174930024386,7.93913307112225e-11,6.98418166705601e-09,"Up-Regulated","ENSMUSG00000001123"
749.954744672849,1.72473455081992,0.375078836855376,4.59832542214305,4.25900382881664e-06,7.90673336709449e-05,"Up-Regulated","ENSMUSG00000001156"
537.120196724497,4.83088780837947,0.761676054715333,6.34244411186716,2.26148261697967e-10,1.54249054443596e-08,"Up-Regulated","ENSMUSG00000001225"
137.121466517864,2.38664297973512,0.537614518427565,4.43932017817461,9.02434790756864e-06,0.000149103515059455,"Up-Regulated","ENSMUSG00000001228"
1885.23269496558,2.15756548942633,0.465989385165443,4.6300743281101,3.65534496175922e-06,6.92725900158115e-05,"Up-Regulated","ENSMUSG00000001270"
285.345466979516,2.09156322479221,0.486639684019153,4.29797094950827,1.72368747422003e-05,0.000261902386293904,"Up-Regulated","ENSMUSG00000001300"
95.401634413379,1.07300158471423,0.330115548282323,3.25038184447031,0.00115250148435889,0.00844894909201168,"Up-Regulated","ENSMUSG00000001313"
504.785576872032,2.66342977624271,0.503185867904345,5.29313310672911,1.20238336796715e-07,3.37867544214797e-06,"Up-Regulated","ENSMUSG00000001348"
160.000886558421,2.53377470722491,0.551931682334175,4.59073973885558,4.41677809179488e-06,8.18002095637084e-05,"Up-Regulated","ENSMUSG00000001403"
124.492939684897,2.7216366927927,0.559278069393152,4.86633902120609,1.13684440107325e-06,2.46917745273246e-05,"Up-Regulated","ENSMUSG00000001420"
115.188518465803,1.50674955898063,0.485970816819571,3.10049391204502,0.00193198185325237,0.012568434888196,"Up-Regulated","ENSMUSG00000001517"
