"","P1","P10","P2","P3","P4","P5","P6","P7","P8","P9"
"ENSMUSG00000039347",205,1489.05637229773,430,1160,1908.00090734447,1457.00634692871,1542,1402.70901194777,1439,1048.36062776456
"ENSMUSG00000039349",727,148,930,314,281,298,105,63,79,57
"ENSMUSG00000039354",196.084105581037,446,221.304201247154,354.307869053331,507,387,344,299,384,300.531134412009
"ENSMUSG00000039356",143.400271945042,160.944633104756,198.005805424824,122.431807452669,176.999609308859,182.686253433285,145.496361019503,105.769505114163,157.575680236439,125.060930209299
"ENSMUSG00000039357",108,230,122,173,213,196,151,161,184,166
"ENSMUSG00000039358",0,0,0,0,0,3,0,0,0,0
"ENSMUSG00000039361",3029,2340,3979,2256,2581,2110,2036,1779,2168,2005
"ENSMUSG00000039364",3456,186,4561,1158,1115,1038,149,55,127,23
"ENSMUSG00000039367",2361,2408,3355,2085,2718,2047,1980,1781,1793,1611
"ENSMUSG00000039372",28.6467110164987,588.017613413798,137.963312499093,436.843240368952,732.031841240657,382.02458616598,503.251859807334,533.959102162116,550.82546033528,479.043186107648
"ENSMUSG00000039375",1,21,14.2287822757551,29,23,29,22,14,22,18
"ENSMUSG00000039376",1,4,2.00089557156323,3,5,0,10,3,2,5
"ENSMUSG00000039377",47,80,12,35,57,56,46,30,32,35
"ENSMUSG00000039382",224.478532440579,481,302,282,449,357.692042934645,459,349.267249624332,366,391
